Date,AI version, Board shape, Initial board, Move History, Winner
Tue Jul 11 2017 11:10:46 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035125053136024132021113023154065164075163014145073176055152051122046104016115026117006137012131002172056103027130010120011101074150061167062105041166057100047177071107042140160070,1
Tue Jul 11 2017 11:10:46 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035123032141013114053136025112022131037145046163001124011121042103064156030147050151061155052160067100070102026117016157062127007173015120072140054106071165075166005176077104010174,0
Tue Jul 11 2017 11:10:47 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053132023152045135051156022114031163074130042160062171055164040120050165041161010124026100004136054173076175046147057121037167072116070127013112017166002105077101025103006115011107,0
Tue Jul 11 2017 11:10:47 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053132024154064125023152031121035163051145016130062173042115020112055161013103060156011170040165072117076114046174001157036171002127037100022110041126047150007106005104066177067175,1
Tue Jul 11 2017 11:10:47 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035123042145025153052136063155024122054162012101056173064114074172071165046141076157047151067175026177011127015116050121030137032131007117003104066120000140006102013105010160061170,1
Tue Jul 11 2017 11:10:47 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053154045136065142024123032115035125046155005126014164041166047113052137022121016156057103031104006130012167040150076174010162027102011117001163061120060177051100107173075171070072,1
Tue Jul 11 2017 11:10:47 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024125026145053132042114031127046154065152035151017121015136041157011130037105022164004155050103013100047110061140062160023166073107020171072156076163001112070175074167077106016102,1
Tue Jul 11 2017 11:10:47 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024123052145013112025142056167011114035110053115032162064131020141022130071121046136026161005151001106057104027160066173002154063172016175050117003176065174007140037170047000077055,0
Tue Jul 11 2017 11:10:48 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053132025135026155031122045142013115004105023111036130006163021103066147041112016152056137024167017177002127001114062151061120010100065164040154073160046157070174075176071172050107,1
Tue Jul 11 2017 11:10:48 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042154025141052163065116051150024115007145032123046176072117035164012157031113074126056167036101053162061160040137027122006175055120070166002121077173010100047171030111014104005103,0
Tue Jul 11 2017 11:10:48 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042132022152053154061131025124041150023114021172003126063104030111015105012162036101035140017116013145064155002120007165006127070160076151047175010177056146066157067174000137073171,0
Tue Jul 11 2017 11:10:48 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042154025124023152062161035172064141032114013112002116026145031136022101011103037121056146027174000120051147063140007167057115004106060150010153005165076166075170077173071155030117,0
Tue Jul 11 2017 11:10:48 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042152062161024141040132051131070145021110055165023160050171046163022113064172002111001112066103054130000115006153004114073135005157025175020156037176067174047177116017136026107027,0
Tue Jul 11 2017 11:10:48 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035145053123013154046132055156022136067125026165066163074147064175052112031142027130076151011101020117062161024157070173050160071115007121014105040103037172000116010141004102006177,0
Tue Jul 11 2017 11:10:49 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053132023114031163005154065113003164045136073176056147067121075172055135041174057146011177037124026142025140066102001115050117052120004160012151062122030161070100016127010106007171,1
Tue Jul 11 2017 11:10:49 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035145056122042136027155054167024123013132046137066125011102016164063153065131026117014177051104015107003100076152020173001175062172005150021174041110060106040161070157030112047171,1
Tue Jul 11 2017 11:10:49 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035123052155045153062146065125015156037116017161066177042175070105054147012132022113024131067111014151063136021141001171064110060176027107002173072140004103020126074157006100050130,1
Tue Jul 11 2017 11:10:49 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024145052142056125055115032151054166035126060146036122023153063147057167076172011175016113014100064117003104073174065127077141012137031120030121006161070171010140005101062150007002,0
Tue Jul 11 2017 11:10:49 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053154025142064124022123052111013162015106071145035136046147027155026102000175063132065176005116017112014156066174072107031101003157041130073110077137021151067104050120040161060170,0
