Date,AI version, Board shape, Initial board, Move History, Winner
Tue Jul 11 2017 15:49:56 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035145052142053125051123013132016115026141024112040137017127014136001104006107005161046155071150054102047157062164056103060100074122021173075131065120010166011163067176030170077172,1
Tue Jul 11 2017 15:49:57 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053154045156025124015162046114071106003126036152042132016135055161070165057141021131075166030174047113002140067176051164027137077120007172005104073111063160050101000117010112023122,0
Tue Jul 11 2017 15:49:57 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053132025155023154064145056124042152015167061106021131005110036165075146051176022170030111035114047141040126001173016100063162004174012102050120057107077103072171060137066113017127,1
Tue Jul 11 2017 15:49:57 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024145054165056136064123042163074125052172035146016151026132031162013121055157066147041107060122014140061127037150017105015104003153010176071120077175011102067112073106000130001170,1
Tue Jul 11 2017 15:49:57 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035145054165055125026127042153016122075141036107052117011132021161062151060123040172015170063176006150031164073114030124013101004174000146057147020171056110066103012105037177002167,1
Tue Jul 11 2017 15:49:58 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,035125042136024152046132026137051145054156061162027115067150017170021107047153014122005163031116012106065120072173040130074103010104060157064141055176023177066171001111013102000175,1
Tue Jul 11 2017 15:49:58 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053152042132051154022111035121000125024161064141050145056163073146026165023131062101072113002155047171010174012120036103075116014127006176030140066107070105077117015167037104057160,0
Tue Jul 11 2017 15:49:58 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053152035154062123022125013112055165042103004163002111024171073156032172010121030151076141040175031100070150060120074114057147037161045126001146036116067164007127066115017105006177,0
Tue Jul 11 2017 15:49:58 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053152024154063125055164051166056122076142074115023160006162035173031114045157011165075116046141032167005112072100007140071126047103021137017136077161070104050130010120002113027001,0
Tue Jul 11 2017 15:49:59 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,042132025154031121011141053145065163040123024126015105073110022172006112055164004152035116001102007120071100061113017156051127057170003175062147030160036146037114076166074150067177,1
Tue Jul 11 2017 15:49:59 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,024123012115053122014145035102032142052104005146003164054106075165047136066157025155067177056126013174001162041151037140016121076100050163061160031173071170011127017120072130010107,1
Tue Jul 11 2017 15:49:59 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053132021152054131023155064110063112061170042122035136024173026117020114062130045172004146041113074115003165066156006102025150047167037116040111027175060105076177071157007151001100,1
Tue Jul 11 2017 15:49:59 GMT-0400 (Eastern Daylight Time),0.1,S82,XXXXXXXXXXXXXXXXXXXXXXXXXXX01XXXXXX10XXXXXXXXXXXXXXXXXXXXXXXXXXX,053132023112031141051150013114021161025145071130010152054163035126003172073124064142016115056155065104070101046117062174011136022175037100040102005166020106060076067157027147007177,0
